webAddress,address,price,PricePerSqaureMeter,numOfRooms,squareMeters
https://www.otodom.pl/pl/oferta/sprzedaz-okazcja-2-pokoje-osobna-kuchnia-ID4l707;Kraków, Podgórze Duchackie, Stanisława Stojałowskiego;455 000 zł;9100 zł/m²;2 pokoje;50 m²
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-tarasem-ID4l6Yy;Kraków, Bieżanów-Prokocim, Złocień, ul. Henryka i Karola Czeczów;420 000 zł;10 244 zł/m²;2 pokoje;41 m²
https://www.otodom.pl/pl/oferta/piekne-2-pokoje-52m-biezanow-ul-heleny-prywatne-ID4kKQV;Kraków, Bieżanów-Prokocim, Bieżanów, ul. Heleny;494 000 zł;9500 zł/m²;2 pokoje;52 m²
https://www.otodom.pl/pl/oferta/petofiego-3-pokojowe-mieszkanie-z-pieknym-widokiem-ID4l6SU;Kraków, Wzgórza Krzesławickie, ul. Petofiego;495 900 zł;9000 zł/m²;3 pokoje;55.1 m²
https://www.otodom.pl/pl/oferta/bezposrednio-dwupokojowe-blok-z-2018-roku-ID4kbm4;Kraków, Mistrzejowice, os. Piastów;470 000 zł;11 750 zł/m²;2 pokoje;40 m²
https://www.otodom.pl/pl/oferta/3-pokoje-bez-prowizji-klucze-do-odebrania-hit-ID4l3Oo;Kraków, Bieżanów-Prokocim;489 600 zł;9273 zł/m²;3 pokoje;52.8 m²
https://www.otodom.pl/pl/oferta/plac-inwalidow-3-pokojowe-w-centrum-na-poddaszu-ID49l8b;Kraków, Krowodrza, ul. Mieczysława Karłowicza;450 000 zł;8333 zł/m²;3 pokoje;54 m²
https://www.otodom.pl/pl/oferta/dwa-pokoje-z-ogrodem-tramwaj-ID4l6NF;Kraków, Mistrzejowice;442 976 zł;10 900 zł/m²;2 pokoje;40.64 m²
https://www.otodom.pl/pl/oferta/3-pok-58-m2-balkon-podgorze-duchackie-ul-luzycka-ID4jRU1;Kraków, Podgórze Duchackie, Piaski Wielkie, Łużycka;499 000 zł;8556 zł/m²;3 pokoje;58.32 m²
https://www.otodom.pl/pl/oferta/os-na-stoku-funkcjonalne-41-m2-na-sprzedaz-ID4l6LZ;Kraków, Wzgórza Krzesławickie;410 000 zł;9896 zł/m²;2 pokoje;41.43 m²
https://www.otodom.pl/pl/oferta/dwa-pokoje-dwustronne-rejon-szpitala-w-prokocimiu-ID4l6KD;Kraków, Bieżanów-Prokocim;450 000 zł;11 117 zł/m²;2 pokoje;40.48 m²
https://www.otodom.pl/pl/oferta/trzy-pokoje-na-granicy-wieliczki-i-krakowa-ID4l6Kx;Kraków, Bieżanów-Prokocim, Bieżanów;439 000 zł;8303 zł/m²;3 pokoje;52.87 m²
https://www.otodom.pl/pl/oferta/kredyt-2-blisko-lasu-ID4l6IK;Kraków, Bieżanów-Prokocim, Bieżanów, Potrzask;448 000 zł;10 000 zł/m²;4 pokoje;44.8 m²
https://www.otodom.pl/pl/oferta/bienczyce-bardzo-ladne-2-pokoje-44-m2-balkon-ID4kOEc;Kraków, Bieńczyce, Osiedle Jagiellońskie;499 000 zł;11 341 zł/m²;2 pokoje;44 m²
